start_time_stamp,end_time_stamp,service_name,pods_number,cpu_quota_cores,min_cpu_quota_percentage_across_pods,max_cpu_quota_percentage_across_pods,min_cpu_cores_used_across_pods,max_cpu_cores_used_across_pods,memory_quota_mb,min_memory_quota_percentage_across_pods,max_memory_quota_percentage_across_pods,min_memory_used_bytes_across_pods,max_memory_used_bytes_across_pods,jvm_heap_max_mb,min_jvm_heap_used_percentage_across_pods,min_jvm_heap_used_bytes,queries_per_second,success_rate,latency_ms
1699134740,1699134740,acmeair-customerservice,3.0,0.5,7.909001,95.029,0.03953,0.47512,512,9.787903,77.749634,52548403.2,417415168.0,512,0.0,0.0,334.0,94.311377245509,0.8687296489126667
1699134740,1699134740,acmeair-flightservice,3.0,0.5,85.15,99.792,0.42573,0.49893,512,11.368104,65.790024,61032038.4,353207500.8,512,0.0,0.0,1326.0,65.53544494720965,1.689021990699
1699134730,1699134730,acmeair-authservice,1.4,0.5,18.162,77.8575,0.090791,0.389275,512,7.63855,58.213044,41009152.0,312528896.0,0,0.0,0.0,388.0,-1.2886597938144284,2.4993787179945
1699134730,1699134730,acmeair-bookingservice,1.0,0.5,100.737,100.737,0.50366,0.50366,512,74.729157,74.729157,401199104.0,401199104.0,512,65.890385,99404785.6,0.0,,53.640444
1699134730,1699134730,acmeair-customerservice,1.7,0.5,31.53,85.137143,0.15763,0.425672,512,9.293475,77.568284,49893961.142858,416441548.8,0,0.0,0.0,1217.0,65.57107641741989,0.8776124911545
1699134730,1699134730,acmeair-flightservice,1.5,0.5,63.737,80.158,0.31866,0.40078,512,5.630036,65.785599,30226022.4,353183744.0,0,0.0,0.0,98.0,-1501.0204081632655,3.0604658928575
1699134720,1699134720,acmeair-authservice,1.0,0.5,22.504,22.504,0.11248,0.11248,512,58.292389,58.292389,312954880.0,312954880.0,512,56.799829,91944108.8,452.0,1.5486725663716785,8.110935340084
1699134720,1699134720,acmeair-bookingservice,1.0,0.5,91.388,91.388,0.456921,0.456921,512,59.248887,59.248887,318090035.2,318090035.2,512,79.806818,111206090.666667,0.0,100.0,31.310917634409
1699134720,1699134720,acmeair-customerservice,1.0,0.5,32.422001,32.422001,0.1621,0.1621,512,77.293244,77.293244,414964940.8,414964940.8,512,77.21965,206627031.2,1514.0,72.91941875825627,2.147947065097
1699134720,1699134720,acmeair-flightservice,1.0,0.5,91.402,91.402,0.45698,0.45698,512,66.567383,66.567383,357380915.2,357380915.2,512,59.198983,123800095.111112,303.0,-136.30363036303632,6.38326049175
1699134720,1699134720,acmeair-mainservice,1.0,0.5,1.164001,1.164001,0.00579,0.00579,512,28.005982,28.005982,150355968.0,150355968.0,512,50.683503,37201852.8,0.0,,0.0
1699134710,1699134710,acmeair-authservice,1.0,0.5,21.645,21.645,0.10821,0.10821,512,58.323823,58.323823,313123635.2,313123635.2,512,61.325159,99590959.2,428.0,2.10280373831776,5.636976682845
1699134710,1699134710,acmeair-bookingservice,1.0,0.5,100.649,100.649,0.50321,0.50321,512,54.607392,54.607392,293171200.0,293171200.0,512,77.949502,106052429.6,0.0,,47.517920291263
1699134710,1699134710,acmeair-customerservice,1.0,0.5,32.64,32.64,0.16317,0.16317,512,77.236252,77.236252,414658969.6,414658969.6,512,67.646186,181010022.4,1505.0,72.09302325581395,1.696515339234
1699134710,1699134710,acmeair-flightservice,1.0,0.5,100.393,100.393,0.50194,0.50194,512,65.901871,65.901871,353807974.4,353807974.4,512,55.258855,115560288.0,0.0,100.0,0.0
1699134710,1699134710,acmeair-mainservice,1.0,0.5,1.125,1.125,0.0056,0.0056,512,28.005982,28.005982,150355968.0,150355968.0,512,49.470891,36311792.0,0.0,,0.0
1699134700,1699134700,acmeair-authservice,1.0,0.5,22.05,22.05,0.110221,0.110221,512,58.286286,58.286286,312922112.0,312922112.0,512,58.375646,94801001.6,487.0,4.312114989733063,5.704684587491
1699134700,1699134700,acmeair-bookingservice,1.0,0.5,97.113,97.113,0.485551,0.485551,512,50.208436,50.208436,269554483.2,269554483.2,512,78.053057,106193318.4,0.0,,47.35552130491
1699134700,1699134700,acmeair-customerservice,1.0,0.5,37.219,37.219,0.18606,0.18606,512,76.621781,76.621781,411360051.2,411360051.2,512,69.316432,185479325.6,1671.0,73.18970676241771,1.902692747854
1699134700,1699134700,acmeair-flightservice,1.0,0.5,97.024,97.024,0.48509,0.48509,512,65.700684,65.700684,352727859.2,352727859.2,512,65.677775,137348893.6,2113.0,66.77709417889257,2.176560471841
1699134700,1699134700,acmeair-mainservice,1.0,0.5,1.180001,1.180001,0.00588,0.00588,512,28.005982,28.005982,150355968.0,150355968.0,512,48.181829,35365616.0,0.0,,0.0
1699134700,1699134700,acmeair-authservice,1.0,0.5,22.05,22.05,0.110221,0.110221,512,58.286286,58.286286,312922112.0,312922112.0,512,58.375646,94801001.6,487.0,4.312114989733063,5.704684587491
1699134700,1699134700,acmeair-bookingservice,1.0,0.5,97.113,97.113,0.485551,0.485551,512,50.208436,50.208436,269554483.2,269554483.2,512,78.053057,106193318.4,0.0,,47.35552130491
